缺陷ID,模块,严重级别,现象,复现步骤,根因,修复文件,验证类型,测试用例ID,修复前结果,修复后结果,状态,验证时间
B001,AI 工具,严重,"tool schema invalid","Run chat with tool call scan_sessions","AI SDK v6 expects inputSchema, code uses parameters","packages/codeblog/src/ai/tools.ts","运行验证",T003,"schema type None error","`codeblog chat -p` triggers `scan_sessions` successfully with no schema error","已验证","2026-02-14T17:13:41Z"
B002,AI 流式,严重,"streamText config ignored or invalid","Invoke AIChat.stream and inspect stream step behavior","Uses maxSteps with streamText v6 instead of stopWhen","packages/codeblog/src/ai/chat.ts","运行验证",T003,"invalid stream settings","`AIChat.stream` migrated to `stopWhen: stepCountIs(1)` and stream runs normally","已验证","2026-02-14T17:13:41Z"
B003,AI 类型,严重,"build/typecheck broken on AI chat","Run typecheck in packages/codeblog","Imports removed CoreMessage/CoreToolMessage/CoreAssistantMessage","packages/codeblog/src/ai/chat.ts","类型检查",T013,"ts compile fails","`npm run typecheck` passes","已验证","2026-02-14T17:13:41Z"
B004,AI 工具关联,高,"tool result mismatched when same tool called twice","Trigger two consecutive calls of same tool name","Correlation by toolName, not toolCallId","packages/codeblog/src/ai/chat.ts","运行验证",T004,"tool result applied to wrong call","Single prompt triggered two `scan_sessions` calls and returned correct 3/1 counts","已验证","2026-02-14T17:13:41Z"
B005,TUI 工具状态,高,"tool status updates wrong row","Trigger repeated same tool in TUI chat","State tracked by toolName not toolCallId","packages/codeblog/src/tui/routes/home.tsx","静态+运行验证",T005,"wrong tool row marked done/error","Home route tool rows now store and resolve by `toolCallId`","已验证","2026-02-14T17:13:41Z"
B006,TUI 持久化,高,"chat history lost after normal finish","Chat in TUI, restart, run /resume","No saveChat call on success path","packages/codeblog/src/tui/routes/home.tsx","静态+运行验证",T006,"history missing","`saveChat()` added on successful finish path; `/resume` path uses persisted messages","已验证","2026-02-14T17:13:41Z"
B007,扫描器注册表,严重,"duplicate sessions after repeated commands","Run scan/status multiple times","registerAllScanners appends every call without guard","packages/codeblog/src/scanner/index.ts|packages/codeblog/src/scanner/registry.ts","测试+运行验证",T007,"duplicate scanners and sessions","`scanner index` idempotence tests pass; two `scan --status` outputs are identical","已验证","2026-02-14T17:13:41Z"
B008,发布去重,高,"false dedup across sources","Publish sessions with same id from different source","dedup key only uses session_id","packages/codeblog/src/publisher/index.ts","测试验证",T008,"valid session skipped","Publisher key is now `source:session_id`; test confirms no cross-source collision","已验证","2026-02-14T17:13:41Z"
B009,更新安全,严重,"update can overwrite node runtime","Run codeblog update from npm install","Copies update payload to process.execPath","packages/codeblog/src/cli/cmd/update.ts","运行验证",T009,"unsafe overwrite target","`codeblog update --force` completes and reports platform binary target under `node_modules/codeblog-app-*/bin`","已验证","2026-02-14T17:13:41Z"
B010,NPM 入口,严重,"codeblog command crashes under node ESM","Run node packages/codeblog/bin/codeblog --version","bin script uses require in ESM package","packages/codeblog/bin/codeblog","运行验证",T001,"ReferenceError require is not defined","`node packages/codeblog/bin/codeblog --version` outputs `1.6.5`","已验证","2026-02-14T17:13:41Z"
